source;target;weight
19;60;64.20
20;2;4.96
20;5;97.04
20;9;1.44
20;15;7.99
20;16;37.85
20;17;45.35
20;18;70.38
20;19;100.52
20;21;23.60
20;25;68.79
20;28;37.61
20;31;3.94
20;33;65.30
20;43;8.42
20;56;57.43
21;16;25.28
21;19;25.92
21;20;23.60
21;23;74.79
21;24;80.61
21;29;8.31
21;31;48.95
21;35;58.31
21;36;16.56
21;37;40.01
21;39;24.28
21;45;15.82
21;48;44.36
21;53;74.23
21;84;70.74
22;15;5.70
22;16;33.56
22;17;42.23
22;19;59.79
22;23;9.00
22;26;41.14
22;29;53.71
22;30;9.24
22;31;95.93
22;35;68.92
22;42;77.61
22;43;55.15
22;47;66.37
22;51;44.57
22;72;54.03
23;15;81.19
23;16;52.65
23;17;47.33
23;18;93.41
23;21;74.79
23;22;9.00
23;27;67.13
23;29;41.57
23;32;34.96
23;33;3.33
23;36;36.72
23;37;79.16
23;43;30.77
23;60;23.70
23;67;67.01
24;16;85.51
24;18;7.25
24;21;80.61
24;25;91.64
24;26;49.01
24;27;62.86
24;28;12.01
24;29;8.04
24;31;89.73
24;32;74.61
24;36;100.23
24;38;82.90
24;42;25.25
24;50;77.86
24;74;45.69
25;17;91.78
25;18;63.04
25;20;68.79
25;24;91.64
25;26;83.92
25;27;32.05
25;29;76.66
25;32;57.30
25;33;70.37
25;35;84.50
25;40;45.01
25;44;94.02
25;50;7.84
25;51;17.43
25;60;27.41
26;8;11.23
26;15;90.66
26;16;94.40
26;19;70.47
26;22;41.14
26;24;49.01
26;25;83.92
26;27;76.89
26;28;52.02
26;29;30.34
26;30;57.42
26;36;61.64
26;40;73.85
26;44;49.56
26;63;50.33
27;16;41.37
27;18;6.00
27;19;19.43
27;23;67.13
27;24;62.86
27;25;32.05
27;26;76.89
27;28;95.80
27;29;91.61
27;34;87.09
27;35;83.01
27;37;32.93
27;45;21.69
27;51;34.56
27;66;34.69
28;14;93.10
28;15;92.94
28;16;12.85
28;18;85.28
28;20;37.61
28;24;12.01
28;26;52.02
28;27;95.80
28;32;53.08
28;34;59.05
28;40;9.25
28;44;25.30
28;49;43.62
28;50;50.85
28;71;25.24
29;18;29.83
29;21;8.31
29;22;53.71
29;23;41.57
29;24;8.04
29;25;76.66
29;26;30.34
29;27;91.61
29;30;54.86
29;32;27.05
29;33;32.33
29;36;97.42
29;37;16.95
29;46;84.06
29;50;52.64
30;18;75.90
30;19;71.06
30;22;9.24
30;26;57.42
30;29;54.86
30;31;98.53
30;32;31.90
30;34;8.64
30;35;30.15
30;38;80.28
30;39;21.47
30;51;49.79
30;52;41.90
30;54;38.24
30;74;25.51
31;17;20.15
31;20;3.94
31;21;48.95
31;22;95.93
31;24;89.73
31;30;98.53
31;35;39.54
31;36;69.42
31;37;47.45
31;38;43.50
31;40;80.64
31;43;95.10
31;49;20.46
31;52;68.95
31;62;68.81
32;6;50.94
32;11;67.15
32;17;96.78
32;19;47.59
32;23;34.96
32;24;74.61
32;25;57.30
32;28;53.08
32;29;27.05
32;30;31.90
32;34;66.75
32;41;43.03
32;44;72.98
32;49;54.41
32;71;26.27
33;19;53.54
33;20;65.30
33;23;3.33
33;25;70.37
33;29;32.33
33;34;23.91
33;37;85.10
33;40;6.23
33;42;28.11
33;46;54.55
33;47;13.67
33;49;25.92
33;52;57.62
33;53;12.42
33;90;46.32
34;15;8.05
34;19;16.99
34;27;87.09
34;28;59.05
34;30;8.64
34;32;66.75
34;33;23.91
34;35;76.19
34;38;95.71
34;39;57.05
34;40;71.47
34;41;27.72
34;43;66.32
34;60;61.89
34;71;66.21
35;15;85.72
35;18;14.61
35;21;58.31
35;22;68.92
35;25;84.50
35;27;83.01
35;30;30.15
35;31;39.54
35;34;76.19
35;36;100.42
35;38;46.41
35;39;97.20
35;40;2.73
35;41;73.25
35;46;14.16
36;4;36.63
36;15;24.96
36;19;21.68
36;21;16.56
36;23;36.72
36;24;100.23
36;26;61.64
36;29;97.42
36;31;69.42
36;35;100.42
36;37;28.91
36;38;35.93
36;42;63.11
36;44;60.55
36;55;27.06
37;1;28.34
37;19;50.29
37;21;40.01
37;23;79.16
37;27;32.93
37;29;16.95
37;31;47.45
37;33;85.10
37;36;28.91
37;41;48.12
37;42;28.64
37;47;91.76
37;52;83.39
37;73;43.19
37;84;37.09
38;16;14.12
38;24;82.90
38;30;80.28
38;31;43.50
38;34;95.71
38;35;46.41
38;36;35.93
38;39;5.62
38;40;22.36
38;43;2.44
38;49;44.03
38;55;33.85
38;58;52.40
38;62;36.71
38;67;74.33
39;16;29.92
39;18;52.77
39;21;24.28
39;30;21.47
39;34;57.05
39;35;97.20
39;38;5.62
39;40;3.68
39;45;44.96
39;47;95.66
39;52;60.48
39;58;87.44
39;60;47.55
39;64;23.91
39;69;89.53
40;25;45.01
40;26;73.85
40;28;9.25
40;31;80.64
40;33;6.23
40;34;71.47
40;35;2.73
40;38;22.36
40;39;3.68
40;42;76.80
40;47;34.42
40;48;85.63
40;51;33.54
40;59;39.32
40;78;73.07
41;16;51.23
41;17;17.22
41;32;43.03
41;34;27.72
41;35;73.25
41;37;48.12
41;42;15.03
41;43;90.14
41;44;89.63
41;45;38.30
41;51;87.88
41;54;39.41
41;63;34.69
41;73;37.00
41;91;51.25
42;22;77.61
42;24;25.25
42;33;28.11
42;36;63.11
42;37;28.64
42;40;76.80
42;41;15.03
42;43;31.42
42;45;33.25
42;46;15.91
42;48;92.90
42;54;54.69
42;56;43.51
42;57;12.63
42;73;79.85
43;20;8.42
43;22;55.15
43;23;30.77
43;31;95.10
43;34;66.32
43;38;2.44
43;41;90.14
43;42;31.42
43;44;99.95
43;45;19.36
43;46;75.56
43;50;46.19
43;60;25.92
43;62;56.12
43;64;22.53
44;25;94.02
44;26;49.56
44;28;25.30
44;32;72.98
44;36;60.55
44;41;89.63
44;43;99.95
44;45;64.40
44;46;54.31
44;48;79.09
44;53;29.69
44;60;91.66
44;61;69.62
44;72;15.00
44;75;42.38
45;15;10.46
45;21;15.82
45;27;21.69
45;39;44.96
45;41;38.30
45;42;33.25
45;43;19.36
45;44;64.40
45;46;42.60
45;47;76.13
45;49;85.47
45;50;77.96
45;53;3.57
45;55;69.14
45;56;13.99
46;17;100.37
46;29;84.06
46;33;54.55
46;35;14.16
46;42;15.91
46;43;75.56
46;44;54.31
46;45;42.60
46;49;46.92
46;51;69.94
46;55;10.43
46;57;43.72
46;66;52.91
46;76;57.49
46;119;59.18
47;22;66.37
47;33;13.67
47;37;91.76
47;39;95.66
47;40;34.42
47;45;76.13
47;53;21.90
47;54;45.27
47;55;11.88
47;57;98.33
47;60;18.52
47;63;87.95
47;69;15.76
47;81;14.01
47;129;12.01
48;7;70.66
48;17;91.52
48;21;44.36
48;40;85.63
48;42;92.90
48;44;79.09
48;50;77.86
48;51;72.58
48;54;30.99
48;60;92.41
48;61;92.55
48;63;27.64
48;66;80.41
48;80;4.13
48;84;72.24
49;28;43.62
49;31;20.46
49;32;54.41
49;33;25.92
49;38;44.03
49;45;85.47
49;46;46.92
49;57;72.91
49;58;78.14
49;61;74.37
49;62;44.31
49;66;69.72
49;77;21.42
49;81;50.81
49;96;80.08
50;24;77.86
50;25;7.84
50;28;50.85
50;29;52.64
50;43;46.19
50;45;77.96
50;48;77.86
50;52;15.80
50;53;69.74
50;57;2.88
50;58;32.64
50;60;76.90
50;61;61.76
50;66;24.42
50;77;42.59
51;22;44.57
51;25;17.43
51;27;34.56
51;30;49.79
51;40;33.54
51;41;87.88
51;46;69.94
51;48;72.58
51;54;1.73
51;61;34.22
51;64;12.44
51;68;13.97
51;77;39.33
51;82;51.15
51;87;86.73
52;18;58.94
52;30;41.90
52;31;68.95
52;33;57.62
52;37;83.39
52;39;60.48
52;50;15.80
52;54;56.60
52;55;82.20
52;61;22.04
52;66;57.84
52;69;63.07
52;72;65.69
52;92;86.29
52;95;47.58
53;10;22.74
53;21;74.23
53;33;12.42
53;44;29.69
53;45;3.57
53;47;21.90
53;50;69.74
53;55;38.60
53;58;64.21
53;61;67.72
53;64;15.12
53;65;30.37
53;68;38.34
53;69;57.78
53;70;44.30
54;30;38.24
54;41;39.41
54;42;54.69
54;47;45.27
54;48;30.99
54;51;1.73
54;52;56.60
54;55;9.06
54;56;3.54
54;59;69.26
54;60;3.62
54;63;40.05
54;67;10.43
54;70;12.77
54;93;98.53
55;36;27.06
55;38;33.85
55;45;69.14
55;46;10.43
55;47;11.88
55;52;82.20
55;53;38.60
55;54;9.06
55;59;44.15
55;60;49.74
55;61;88.13
55;63;98.04
55;65;88.52
55;73;20.70
55;126;49.47
56;20;57.43
56;42;43.51
56;45;13.99
56;54;3.54
56;57;32.12
56;58;67.28
56;59;30.70
56;62;98.58
56;64;24.76
56;72;28.28
56;75;26.15
56;83;84.59
56;85;48.64
56;95;77.62
56;96;89.79
57;42;12.63
57;46;43.72
57;47;98.33
57;49;72.91
57;50;2.88
57;56;32.12
57;58;39.59
57;59;61.53
57;62;46.70
57;64;78.00
57;65;59.57
57;71;12.30
57;75;37.92
57;78;13.28
57;82;48.19
58;3;10.79
58;38;52.40
58;39;87.44
58;49;78.14
58;50;32.64
58;53;64.21
58;56;67.28
58;57;39.59
58;59;84.67
58;65;74.67
58;67;91.42
58;69;76.69
58;75;80.73
58;78;68.85
58;81;11.14
59;40;39.32
59;54;69.26
59;55;44.15
59;56;30.70
59;57;61.53
59;58;84.67
59;60;77.46
59;62;32.95
59;63;84.76
59;65;84.28
59;66;81.19
59;68;73.44
59;70;22.24
59;71;38.98
59;85;27.86
60;19;64.20
60;23;23.70
60;25;27.41
60;34;61.89
60;39;47.55
60;43;25.92
60;44;91.66
60;47;18.52
60;48;92.41
60;50;76.90
60;54;3.62
60;55;49.74
60;59;77.46
60;76;82.23
60;146;63.74
61;44;69.62
61;48;92.55
61;49;74.37
61;50;61.76
61;51;34.22
61;52;22.04
61;53;67.72
61;55;88.13
61;69;85.47
61;72;30.21
61;74;82.50
61;75;30.27
61;100;73.97
61;102;45.38
61;108;50.10
62;31;68.81
62;38;36.71
62;43;56.12
62;49;44.31
62;56;98.58
62;57;46.70
62;59;32.95
62;63;69.14
62;66;38.04
62;67;14.69
62;72;57.07
62;75;53.11
62;79;82.84
62;81;64.93
62;83;74.49
63;26;50.33
63;41;34.69
63;47;87.95
63;48;27.64
63;54;40.05
63;55;98.04
63;59;84.76
63;62;69.14
63;65;4.69
63;69;47.65
63;71;25.22
63;72;18.52
63;86;72.13
63;87;44.62
63;95;2.69
64;39;23.91
64;43;22.53
64;51;12.44
64;53;15.12
64;56;24.76
64;57;78.00
64;65;35.64
64;68;74.40
64;69;51.63
64;70;77.91
64;71;87.64
64;91;1.02
64;98;16.14
64;110;25.68
64;176;15.30
65;53;30.37
65;55;88.52
65;57;59.57
65;58;74.67
65;59;84.28
65;63;4.69
65;64;35.64
65;67;100.01
65;68;9.12
65;69;41.16
65;71;30.72
65;74;11.97
65;76;53.18
65;79;52.26
65;84;12.54
66;27;34.69
66;46;52.91
66;48;80.41
66;49;69.72
66;50;24.42
66;52;57.84
66;59;81.19
66;62;38.04
66;69;11.56
66;70;37.71
66;71;29.48
66;74;56.02
66;94;99.35
66;97;25.09
66;108;62.05
67;23;67.01
67;38;74.33
67;54;10.43
67;58;91.42
67;62;14.69
67;65;100.01
67;69;60.07
67;71;45.91
67;72;46.79
67;76;55.32
67;79;17.38
67;85;28.07
67;87;85.84
67;91;18.64
67;109;10.50
68;51;13.97
68;53;38.34
68;59;73.44
68;64;74.40
68;65;9.12
68;70;12.92
68;71;43.21
68;72;54.90
68;79;6.52
68;84;38.73
68;87;89.34
68;90;33.83
68;92;86.39
68;102;14.15
68;103;9.54
69;39;89.53
69;47;15.76
69;52;63.07
69;53;57.78
69;58;76.69
69;61;85.47
69;63;47.65
69;64;51.63
69;65;41.16
69;66;11.56
69;67;60.07
69;78;29.13
69;80;40.69
69;85;7.22
69;106;61.96
70;53;44.30
70;54;12.77
70;59;22.24
70;64;77.91
70;66;37.71
70;68;12.92
70;72;26.69
70;74;13.43
70;76;23.64
70;78;80.33
70;79;65.53
70;80;77.41
70;81;80.52
70;88;70.16
70;89;56.17
71;28;25.24
71;32;26.27
71;34;66.21
71;57;12.30
71;59;38.98
71;63;25.22
71;64;87.64
71;65;30.72
71;66;29.48
71;67;45.91
71;68;43.21
71;75;80.81
71;77;65.78
71;80;66.74
71;84;32.32
72;22;54.03
72;44;15.00
72;52;65.69
72;56;28.28
72;61;30.21
72;62;57.07
72;63;18.52
72;67;46.79
72;68;54.90
72;70;26.69
72;75;12.76
72;76;36.49
72;81;45.98
72;82;30.57
72;87;97.93
73;37;43.19
73;41;37.00
73;42;79.85
73;55;20.70
73;74;49.87
73;76;5.00
73;77;60.49
73;80;44.99
73;81;39.46
73;84;58.51
73;88;22.53
73;93;41.59
73;99;46.24
73;100;28.99
73;102;55.06
74;15;30.64
74;24;45.69
74;30;25.51
74;61;82.50
74;65;11.97
74;66;56.02
74;70;13.43
74;73;49.87
74;75;10.15
74;77;89.23
74;79;44.01
74;80;43.07
74;82;12.79
74;89;13.59
74;96;92.45
75;44;42.38
75;56;26.15
75;57;37.92
75;58;80.73
75;61;30.27
75;62;53.11
75;71;80.81
75;72;12.76
75;74;10.15
75;80;1.44
75;81;21.12
75;90;85.49
75;91;32.75
75;93;52.98
75;97;47.38
76;46;57.49
76;60;82.23
76;65;53.18
76;67;55.32
76;70;23.64
76;72;36.49
76;73;5.00
76;78;12.38
76;79;91.12
76;84;57.91
76;88;67.01
76;91;55.15
76;95;35.27
76;104;15.42
76;111;49.48
77;49;21.42
77;50;42.59
77;51;39.33
77;71;65.78
77;73;60.49
77;74;89.23
77;78;64.07
77;79;60.17
77;81;50.29
77;85;54.31
77;86;14.62
77;87;76.20
77;93;17.91
77;95;42.07
77;143;40.88
78;40;73.07
78;57;13.28
78;58;68.85
78;69;29.13
78;70;80.33
78;76;12.38
78;77;64.07
78;82;47.50
78;83;9.71
78;86;96.59
78;87;64.56
78;92;88.23
78;97;17.43
78;98;53.69
78;100;95.93
79;62;82.84
79;65;52.26
79;67;17.38
79;68;6.52
79;70;65.53
79;74;44.01
79;76;91.12
79;77;60.17
79;82;88.03
79;83;19.70
79;84;84.31
79;85;39.05
79;90;4.43
79;98;87.13
79;104;85.51
80;17;52.22
80;48;4.13
80;69;40.69
80;70;77.41
80;71;66.74
80;73;44.99
80;74;43.07
80;75;1.44
80;83;68.46
80;84;29.60
80;92;63.31
80;97;91.39
80;100;56.80
80;102;11.54
80;110;68.02
81;47;14.01
81;49;50.81
81;58;11.14
81;62;64.93
81;70;80.52
81;72;45.98
81;73;39.46
81;75;21.12
81;77;50.29
81;82;27.87
81;85;23.91
81;87;85.74
81;92;86.59
81;94;100.24
81;95;46.34
82;51;51.15
82;57;48.19
82;72;30.57
82;74;12.79
82;78;47.50
82;79;88.03
82;81;27.87
82;83;52.32
82;87;54.38
82;88;20.37
82;92;13.67
82;94;15.77
82;97;19.23
82;100;51.77
82;112;42.72
83;56;84.59
83;62;74.49
83;78;9.71
83;79;19.70
83;80;68.46
83;82;52.32
83;84;89.74
83;86;66.17
83;87;74.81
83;88;64.22
83;90;57.56
83;94;18.46
83;95;52.18
83;97;77.77
83;131;70.91
84;21;70.74
84;37;37.09
84;48;72.24
84;65;12.54
84;68;38.73
84;71;32.32
84;73;58.51
84;76;57.91
84;79;84.31
84;80;29.60
84;83;89.74
84;87;87.18
84;88;4.91
84;111;30.37
84;116;63.37
85;56;48.64
85;59;27.86
85;67;28.07
85;69;7.22
85;77;54.31
85;79;39.05
85;81;23.91
85;86;27.23
85;88;93.05
85;94;11.37
85;96;53.71
85;97;72.24
85;100;32.17
85;103;72.57
85;112;14.24
86;63;72.13
86;77;14.62
86;78;96.59
86;83;66.17
86;85;27.23
86;88;62.64
86;89;66.35
86;91;75.84
86;96;83.95
86;98;52.13
86;99;61.81
86;106;42.77
86;114;13.09
86;116;75.71
86;152;81.19
87;51;86.73
87;63;44.62
87;67;85.84
87;68;89.34
87;72;97.93
87;77;76.20
87;78;64.56
87;81;85.74
87;82;54.38
87;83;74.81
87;84;87.18
87;95;30.82
87;101;35.92
87;109;89.68
87;113;48.09
88;70;70.16
88;73;22.53
88;76;67.01
88;82;20.37
88;83;64.22
88;84;4.91
88;85;93.05
88;86;62.64
88;89;88.83
88;90;82.26
88;93;48.40
88;95;13.71
88;101;50.88
88;112;54.33
88;116;65.55
89;70;56.17
89;74;13.59
89;86;66.35
89;88;88.83
89;92;93.05
89;93;12.16
89;96;15.55
89;97;19.02
89;98;46.95
89;99;93.08
89;100;60.39
89;106;97.18
89;109;47.83
89;113;38.31
89;117;60.35
90;33;46.32
90;68;33.83
90;75;85.49
90;79;4.43
90;83;57.56
90;88;82.26
90;92;51.97
90;93;82.19
90;94;16.82
90;96;10.12
90;98;19.55
90;105;10.76
90;111;85.33
90;112;30.22
90;137;92.74
91;41;51.25
91;64;1.02
91;67;18.64
91;75;32.75
91;76;55.15
91;86;75.84
91;92;28.55
91;95;53.20
91;98;17.48
91;99;81.10
91;101;41.32
91;104;39.71
91;107;73.22
91;127;74.47
91;130;2.34
92;52;86.29
92;68;86.39
92;78;88.23
92;80;63.31
92;81;86.59
92;82;13.67
92;89;93.05
92;90;51.97
92;91;28.55
92;94;46.13
92;96;80.54
92;101;33.46
92;106;34.08
92;123;74.51
92;133;46.54
93;54;98.53
93;73;41.59
93;75;52.98
93;77;17.91
93;88;48.40
93;89;12.16
93;90;82.19
93;95;66.70
93;101;92.89
93;103;12.53
93;105;73.37
93;107;18.42
93;123;21.84
93;129;69.68
93;144;72.61
94;66;99.35
94;81;100.24
94;82;15.77
94;83;18.46
94;85;11.37
94;90;16.82
94;92;46.13
94;95;82.69
94;96;76.54
94;97;93.83
94;98;91.58
94;99;80.68
94;105;2.06
94;114;19.07
94;116;77.33
95;52;47.58
95;56;77.62
95;63;2.69
95;76;35.27
95;77;42.07
95;81;46.34
95;83;52.18
95;87;30.82
95;88;13.71
95;91;53.20
95;93;66.70
95;94;82.69
95;101;86.02
95;103;85.24
95;109;96.05
96;49;80.08
96;56;89.79
96;74;92.45
96;85;53.71
96;86;83.95
96;89;15.55
96;90;10.12
96;92;80.54
96;94;76.54
96;97;64.42
96;107;59.96
96;108;5.69
96;111;34.09
96;115;35.57
96;126;62.78
97;66;25.09
97;75;47.38
97;78;17.43
97;80;91.39
97;82;19.23
97;83;77.77
97;85;72.24
97;89;19.02
97;94;93.83
97;96;64.42
97;101;61.71
97;108;40.71
97;109;71.40
97;122;40.88
97;152;52.60
98;64;16.14
98;78;53.69
98;79;87.13
98;86;52.13
98;89;46.95
98;90;19.55
98;91;17.48
98;94;91.58
98;101;78.76
98;102;74.50
98;108;50.01
98;113;57.46
98;116;73.90
98;136;26.16
98;138;64.13
99;73;46.24
99;86;61.81
99;89;93.08
99;91;81.10
99;94;80.68
99;101;62.78
99;102;95.82
99;107;10.03
99;108;36.83
99;113;55.58
99;122;5.65
99;124;15.60
99;129;27.63
99;131;17.32
99;145;8.71
100;61;73.97
100;73;28.99
100;78;95.93
100;80;56.80
100;82;51.77
100;85;32.17
100;89;60.39
100;102;16.92
100;103;78.89
100;106;24.78
100;111;77.04
100;115;7.15
100;119;30.91
100;120;88.43
100;131;9.30
101;87;35.92
101;88;50.88
101;91;41.32
101;92;33.46
101;93;92.89
101;95;86.02
101;97;61.71
101;98;78.76
101;99;62.78
101;103;57.63
101;104;92.37
101;106;36.40
101;113;77.10
101;114;62.06
101;128;41.43
102;61;45.38
102;68;14.15
102;73;55.06
102;80;11.54
102;98;74.50
102;99;95.82
102;100;16.92
102;106;82.57
102;107;65.93
102;108;20.71
102;111;18.52
102;112;1.00
102;113;57.02
102;119;17.54
102;120;86.34
103;68;9.54
103;85;72.57
103;93;12.53
103;95;85.24
103;100;78.89
103;101;57.63
103;104;65.94
103;105;11.67
103;108;43.78
103;109;74.67
103;110;6.20
103;111;13.68
103;114;25.75
103;127;98.06
103;131;66.30
104;76;15.42
104;79;85.51
104;91;39.71
104;101;92.37
104;103;65.94
104;106;97.55
104;110;21.67
104;111;32.89
104;113;62.32
104;114;39.95
104;123;62.45
104;128;67.36
104;132;70.40
104;142;20.49
104;151;25.06
105;90;10.76
105;93;73.37
105;94;2.06
105;103;11.67
105;107;92.06
105;108;87.62
105;109;63.95
105;110;43.20
105;112;82.39
105;113;61.11
105;114;60.68
105;121;80.02
105;135;34.65
105;137;89.59
105;192;24.53
106;69;61.96
106;86;42.77
106;89;97.18
106;92;34.08
106;100;24.78
106;101;36.40
106;102;82.57
106;104;97.55
106;109;10.08
106;113;57.06
106;122;63.39
106;123;88.25
106;126;83.82
106;128;84.02
106;132;24.15
107;91;73.22
107;93;18.42
107;96;59.96
107;99;10.03
107;102;65.93
107;105;92.06
107;108;55.29
107;111;76.71
107;113;77.56
107;118;93.22
107;119;23.90
107;120;57.43
107;126;3.36
107;129;39.13
107;148;74.31
108;61;50.10
108;66;62.05
108;96;5.69
108;97;40.71
108;98;50.01
108;99;36.83
108;102;20.71
108;103;43.78
108;105;87.62
108;107;55.29
108;116;44.58
108;122;20.25
108;138;28.70
108;139;63.36
108;156;60.06
109;67;10.50
109;87;89.68
109;89;47.83
109;95;96.05
109;97;71.40
109;103;74.67
109;105;63.95
109;106;10.08
109;110;2.24
109;112;33.96
109;114;1.96
109;116;28.41
109;118;19.57
109;125;47.41
109;158;100.37
110;64;25.68
110;80;68.02
110;103;6.20
110;104;21.67
110;105;43.20
110;109;2.24
110;111;16.24
110;112;41.78
110;113;92.02
110;114;54.00
110;115;53.70
110;123;89.53
110;133;99.13
110;138;7.91
110;154;30.60
111;76;49.48
111;84;30.37
111;90;85.33
111;96;34.09
111;100;77.04
111;102;18.52
111;103;13.68
111;104;32.89
111;107;76.71
111;110;16.24
111;112;54.53
111;119;67.27
111;122;82.24
111;126;14.01
111;154;27.18
112;82;42.72
112;85;14.24
112;88;54.33
112;90;30.22
112;102;1.00
112;105;82.39
112;109;33.96
112;110;41.78
112;111;54.53
112;114;8.14
112;115;62.63
112;118;91.06
112;119;19.97
112;146;32.00
112;171;60.01
113;87;48.09
113;89;38.31
113;98;57.46
113;99;55.58
113;101;77.10
113;102;57.02
113;104;62.32
113;105;61.11
113;106;57.06
113;107;77.56
113;110;92.02
113;116;1.23
113;124;51.66
113;140;24.23
113;143;21.97
114;86;13.09
114;94;19.07
114;101;62.06
114;103;25.75
114;104;39.95
114;105;60.68
114;109;1.96
114;110;54.00
114;112;8.14
114;116;85.49
114;118;61.68
114;122;17.12
114;125;34.77
114;129;46.38
114;141;57.31
115;96;35.57
115;100;7.15
115;110;53.70
115;112;62.63
115;117;66.50
115;118;89.01
115;119;82.53
115;120;57.29
115;122;1.75
115;125;95.05
115;127;34.16
115;128;84.37
115;136;29.14
115;147;24.60
115;151;51.70
116;84;63.37
116;86;75.71
116;88;65.55
116;94;77.33
116;98;73.90
116;108;44.58
116;109;28.41
116;113;1.23
