1;4
302;316;326
303;312;324
304;315;317
305;331;310
306;283;296
307;311;283
308;324;287
309;313;316
310;305;301
311;288;307
312;290;303
313;329;309
314;336;348
315;339;304
316;309;302
317;304;318
318;317;298
319;320;299
320;330;319
321;264;297
322;334;355
323;343;358
324;303;308
325;276;258
326;302;344
327;355;336
328;338;346
329;257;313
330;285;320
331;277;305
332;356;367
333;287;285
334;298;322
335;361;350
336;327;314
337;364;370
338;350;328
339;344;315
340;348;364
341;388;373
342;346;363
343;357;323
344;326;339
345;349;347
346;328;342
347;345;360
348;314;340
349;372;345
350;335;338
351;395;389
352;360;398
353;373;383
354;370;356
355;322;327
356;354;332
357;363;343
358;323;390
359;398;368
360;347;352
361;367;335
362;365;382
363;342;357
364;340;337
365;369;362
366;376;380
367;332;361
368;359;376
369;371;365
370;337;354
371;379;369
372;390;349
373;341;353
374;375;385
375;382;374
376;368;366
377;383;395
378;389;391
379;380;371
380;366;379
381;385;388
382;362;375
383;353;377
384;394;410
385;374;381
386;410;387
387;386;393
388;381;341
389;351;378
390;358;372
391;378;392
392;391;402
393;387;430
394;402;384
395;377;351
396;415;440
397;401;404
398;352;359
399;412;408
400;426;468
401;430;397
402;392;394
403;404;405
404;397;403
405;403;421
406;418;438
407;433;462
408;399;420
409;420;429
410;384;386
411;440;424
412;438;399
413;423;414
414;413;445
415;429;396
416;417;452
417;424;416
418;421;406
419;432;436
420;408;409
421;405;418
422;452;427
423;427;413
424;411;417
425;434;465
426;441;400
427;422;423
428;462;447
429;409;415
430;393;401
431;470;448
432;446;419
433;451;407
434;447;425
435;457;472
436;419;486
437;444;449
438;406;412
439;450;476
440;396;411
441;445;426
442;486;457
443;480;456
444;465;437
445;414;441
446;449;432
447;428;434
448;431;453
449;437;446
450;478;439
451;468;433
452;416;422
453;448;480
454;472;478
455;467;460
456;443;459
457;442;435
458;469
459;456;469
460;455;473
461;490
462;407;428
463;464;482
464;487;463
465;425;444
466;484;488
467;474;455
468;400;451
469;459;458;487
470;473;431
471;482;491
472;435;454
473;460;470
474;476;467
475;479;489
476;439;474
477;483;484;498
478;454;450
479;491;475
480;453;443
481;500;499
482;463;471
483;489;477
484;477;466
485;488
486;436;442
487;469;464
488;466;485;493
489;475;483
490;494;461
491;471;479
492;493;494;496;497
493;488;492
494;492;490;495
495;494
496;492
497;492;500
498;477
499;481
500;497;481
